record_id,entity_type,name,jurisdiction,address,birth_date,source_register
agg-c-C001-0,company,Northwind Energy Trading Ltd.,GB,"Beaufort House, 15 St Botolph Street, London EC3A 7BB",,gleif
agg-c-C002-0,company,Baltic Resource Holdings Limited,CY,"Themistokli Dervi 3, Julia House, 1066 Nicosia",,gleif
agg-c-C003-0,company,Arcadia Capital Partners Ltd,KY,PO BOX 309,,gleif
agg-c-C003-1,company,Arcadia Capital Partners Ltd,KY,"190 Elgin Avenue, George Town, Grand Cayman KY1-9008",,orbis
agg-c-C004-0,company,Meridian Nominees Ltd,VG,"CRAIGMUIR CHAMBERS,PO BOX 71,ROAD TOWN,TORTOLA VG1110",,opencorporates
agg-c-C005-0,company,Volga Shipping Group OOO,RU,ULITSA TVERSKAYA 12,,orbis
agg-c-C005-1,company,Volga Shipping Group LLC,RU,Ulitsa Tverskaya 12,,gleif
agg-c-C006-0,company,Sunrise Commodities Free Zone Estalishment,AE,Unit 1802,,opencorporates
agg-c-C007-0,company,HELVETIA TRUST SERVICES AKTIENGESELLSCHAFT,CH,"BAHNHOFSTRASSE 45,8001 ZURICH",,opencorporates
agg-c-C008-0,company,Delta Marine Logistics S.A.,PA,Torre Global Bank,,orbis
agg-c-C010-0,company,Silk Rad Ventures IBC,SC,"Suite 1, Second Floor, Sound & Vision House, Francis Rachel Street, Victoria, Mahe",,gleif
agg-c-C010-1,company,Sil Road Ventures Ltd,SC,Suite 1,,gleif
agg-c-C011-0,company,Aurora Mining Holdings Limited,GB,27 Old Broad Street,,gleif
agg-c-C015-0,company,KESTREL TRADING DMCC DMCC,AE,Office 3402,,opencorporates
agg-c-C015-1,company,Kestrel Trading DMCC DMCC,AE,"Office 3402, Almas Tower, JLT, Dubai",,opencorporates
agg-c-C016-0,company,Orion Petrochemicals BV,NL,"Zuidplein 126, 1077 XV Amsterdam",,opencorporates
agg-c-C018-0,company,Adriatic Shipping Lines SpA,IT,"Via Monte Napoleone 8, 20121 Milano",,opencorporates
agg-c-C019-0,company,Blue Harbour Nominees Ltd,BZ,"WITHFIELD TOWER,THIRD FLOOR,4792 CONEY DRIVE,BELIZE CITY",,gleif
agg-c-C019-1,company,Blue Harbour Nominees IBC,BZ,Withfield Tower,,orbis
agg-c-C020-0,company,Continental Freight Systems Ltd.,GB,"1 Canada Square, Canary Wharf, London E14 5AB",,gleif
agg-c-C023-0,company,BALTIC FISHERIIES LTD.,GB,"27 Old Broad Street, London EC2N 1HN",,gleif
agg-c-B0000-0,company,Cobalt Textiles International Ltd,PA,"Torre Global Bank, Calle 50, Ciudad de Panama",,gleif
agg-c-B0002-0,company,Cobalt Partners International SA,AE,UNIT 1802,,opencorporates
agg-c-B0003-0,company,Northern Partners Global S.A.,CY,"Themistokli Dervi 3, Julia House, 1066 Nicosia",,orbis
agg-c-B0004-0,company,Draco Capital Corporation Besloten Vennootschap,CH,"BAHNHOFSTRASSE 45,8001 ZURICH",,opencorporates
agg-c-B0005-0,company,Emerald Capital International DMCC,NL,"ZUIDPLEIN 126,1077 XV AMSTERDAM",,opencorporates
agg-c-B0005-1,company,Emerald Capital International DMCC Ltd,NL,"ZUIDPLEIN 126,1077 XV AMSTERDAM",,orbis
agg-c-B0006-0,company,Harbour Maritime Corporation Exempted Company,AE,"OFFICE 3402,ALMAS TOWER,JLT,DUBAI",,opencorporates
agg-c-B0006-1,company,Harbour Maritime Corporation Limited,AE,"Unit 1802, Jumeirah Business Centre 3, Cluster Y, JLT, Dubai",,orbis
agg-c-B0007-0,company,REGENT INDUSTRIES CORPORATION LTD,IT,"Via Monte Napoleone 8, 20121 Milano",,orbis
agg-c-B0010-0,company,Imperial Property Group DMCC,NL,"Zuidplein 126, 1077 XV Amsterdam",,orbis
agg-c-B0010-1,company,Imperial Property Group DMCC Ltd,NL,"Zuidplein 126, 1077 XV Amsterdam",,opencorporates
agg-c-B0011-0,company,Cypress Consulting Enterprises DMCC,IT,"Via Monte Napoleone 8, 20121 Milano",,opencorporates
agg-c-B0014-0,company,Harbour Resources Corporation Aktiengesellschaft,SC,"Suite 1, Second Floor, Sound & Vision House, Francis Rachel Street, Victoria, Mahe",,gleif
