node_id,name,node_type,jurisdiction_description,address,sourceID
icij-B0000,Cobalt Textiles International IBC,entity,PA,"Torre Global Bank, Calle 50, Ciudad de Panama",Offshore Leaks 2016
icij-B0001,Granite Maritime Sociedad Anonima,entity,AE,"Office 3402, Almas Tower, JLT, Dubai",Offshore Leaks 2016
icij-B0002,Cobalt Partners International S.A.,entity,AE,"UNIT 1802,JUMEIRAH BUSINESS CENTRE 3,CLUSTER Y,JLT,DUBAI",Offshore Leaks 2016
icij-B0003,Northern Partners Global Sociedad Anonima,entity,CY,Arch. Makariou III 199,Offshore Leaks 2016
icij-B0006,Harbour Maritime Corporation Ltd,entity,AE,"UNIT 1802,JUMEIRAH BUSINESS CENTRE 3,CLUSTER Y,JLT,DUBAI",Offshore Leaks 2016
icij-B0008,Cobalt Textiles Corporation SpA,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0009,Anchor Property Corporation Limited,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0012,EVEREST LOGISTICS ENTERPRISES LLC,entity,BZ,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",Offshore Leaks 2016
icij-B0013,Summit Trading Global Limited,entity,BZ,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",Offshore Leaks 2016
icij-B0014,Harbour Resources Corporation Aktiengesellschaft,entity,SC,"Suite 1, Second Floor, Sound & Vision House, Francis Rachel Street, Victoria, Mahe",Offshore Leaks 2016
icij-B0015,Beacon Capital Group A.G.,entity,SC,"Suite 1, Second Floor, Sound & Vision House, Francis Rachel Street, Victoria, Mahe",Offshore Leaks 2016
icij-B0016,Everest Holdings Ltd,entity,SC,"SUITE 1,SECOND FLOOR,SOUND & VISION HOUSE,FRANCIS RACHEL STREET,VICTORIA,MAHE",Offshore Leaks 2016
icij-B0017,ANCHOR PETROLEUM S.A.,entity,AE,Office 3402,Offshore Leaks 2016
icij-B0020,Emerald Resources P.L.C.,entity,CY,"Arch. Makariou III 199, Neocleous House, 3030 Limassol",Offshore Leaks 2016
icij-B0022,Beacon Investments Enterprises O.O.O.,entity,PA,TORRE GLOBAL BANK,Offshore Leaks 2016
icij-B0023,Emerald Industries Corporation S.p.A.,entity,BZ,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",Offshore Leaks 2016
icij-B0024,Atlantic Investments Exempted Company,entity,PA,"TORRE GLOBAL BANK,CALLE 50,CIUDAD DE PANAMA",Offshore Leaks 2016
icij-B0025,Atlantic Investments Corporation FZE,entity,BZ,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",Offshore Leaks 2016
icij-B0026,Everest Industries Enterprises FZE,entity,CY,"ARCH. MAKARIOU III 199,NEOCLEOUS HOUSE,3030 LIMASSOL",Offshore Leaks 2016
